product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Calcium Ascorbate (Vitamin C) Powder,0.0575,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-ascorbate-vitamin-c
Methylcobalamin 1%,0.238,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/methylcobalamin-1
Magnesium Lactate Dihydrate Bulk,0.0319,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-lactate-dihydrate-bulk
L-Tyrosine,0.0575,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-tyrosine
TUDCA (Tauroursodeoxycholic Acid),2.175,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/tudca-tauroursodeoxycholic-acid
Choline L-Bitartrate,0.0695,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/choline-l-bitartrate
Pantothenic Acid (Vitamin B5) Bulk,0.0427,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pantothenic-acid-vitamin-b5-bulk
Magnesium Citrate,0.0299,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-citrate
L-Carnosine Powder,0.69,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-carnosine
Calcium Gluconate (USA),0.0814,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-gluconate
Ascorbyl Palmitate (Vitamin C Ester) Powder,0.115,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/ascorbyl-palmitate-vitamin-c-ester
Beta Alanine Powder Bulk,0.0303,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/beta-alanine-powder-bulk
Zinc Picolinate 20% Bulk 25kg,0.0553,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-picolinate-20-bulk
Zinc Bis-Glycinate Bulk,0.0469,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-bis-glycinate-bulk
Potassium Gluconate (USA),0.0758,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/potassium-gluconate
Coenzyme Q10 (CoQ10) Powder,0.925,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/coenzyme-q10-coq10
Branched Chain Amino Acids (BCAA) Instantized Powder Bulk 25kg,0.0353,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/branched-chain-amino-acids-bcaa-instantized-bulk
Whey Protein Isolate 90% (USA),0.075,PureBulk,NONE,"[""NO-FILLERS"", ""PURE"", ""SUGAR-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/whey-protein-isolate-90
BHB Sodium (Beta Hydroxybutyrate) Powder,0.095,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/bhb-sodium-beta-hydroxybutyrate
Pyridoxal-5-Phosphate (P5P) (P-5-P) (Vitamin B6) Bulk 5kg,0.2912,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6-bulk
BHB Potassium Bulk 25kg,0.0427,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/bhb-sodium-bulk
BHB Calcium Powder,0.125,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/bhb-calcium
Biotin 1% (Vitamin B7) Powder Bulk,0.049,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/biotin-1-vitamin-b7-bulk
Zinc Oxide Bulk 50lb,642.97,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-oxide-bulk
Pyridoxine HCl (Vitamin B6) Bulk 25kg,0.0599,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/pyridoxine-hcl-vitamin-b6-bulk
Calcium Pyruvate Powder,0.1295,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-CARBOHYDRATE"", ""NON-OXYGEN"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-pyruvate
Thiamine HCl (Vitamin B1) Bulk 25kg,0.0847,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/thiamine-hcl-vitamin-b1-bulk
