role,id,name,properties_json,certifications_json,price_value,price_unit,price_tiers_json,lead_days,lead_reliability,lead_type,supplier_rating_value,supplier_rating_reviews,defect_rate_value,defect_rate_sample,on_time_delivery_value,on_time_delivery_sample,years_in_business,audit_score_value,audit_age_months,audit_passed,moq,country_of_origin,incoterm,source_url
CANDIDATE,vitamin-d3-5000iu-vitamin-k2-mct-oil-soy-free-softgels,Vitamin D3 (5000IU) + Vitamin K2 MCT Oil (Soy Free) Softgels (Qty: 300),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.3595,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/vitamin-d3-5000iu-vitamin-k2-mct-oil-soy-free-softgels
CANDIDATE,whey-protein-isolate-90-bulk,Whey Protein Isolate 90% (USA) Bulk 20kg,{},"[""NO-FILLERS"", ""PURE""]",0.0472,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/whey-protein-isolate-90-bulk
CANDIDATE,folic-acid-pure-vitamin-b9-bulk,Folic Acid Pure (Vitamin B9) Powder Bulk 20kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0973,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/folic-acid-pure-vitamin-b9-bulk
CANDIDATE,gamma-aminobutyric-acid-gaba,Gamma Aminobutyric Acid (GABA) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0575,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/gamma-aminobutyric-acid-gaba
CANDIDATE,inositol-vitamin-b8-bulk,Myo-Inositol Powder (Vitamin B8) Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0268,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/inositol-vitamin-b8-bulk
CANDIDATE,selenium,Selenium,{},"[""NO-FILLERS"", ""PURE""]",0.255,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/selenium
CANDIDATE,fursultiamine-ttfd,Fursultiamine (TTFD),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.71,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/fursultiamine-ttfd
CANDIDATE,calcium-ascorbate-vitamin-c,Calcium Ascorbate (Vitamin C) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0575,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-ascorbate-vitamin-c
CANDIDATE,methylcobalamin-1,Methylcobalamin 1%,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.238,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/methylcobalamin-1
CANDIDATE,magnesium-lactate-dihydrate-bulk,Magnesium Lactate Dihydrate Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0319,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/magnesium-lactate-dihydrate-bulk
CANDIDATE,l-tyrosine,L-Tyrosine,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0575,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-tyrosine
CANDIDATE,tudca-tauroursodeoxycholic-acid,TUDCA (Tauroursodeoxycholic Acid),{},"[""NO-FILLERS"", ""PURE""]",2.175,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/tudca-tauroursodeoxycholic-acid
CANDIDATE,choline-l-bitartrate,Choline L-Bitartrate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0695,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/choline-l-bitartrate
CANDIDATE,pantothenic-acid-vitamin-b5-bulk,Pantothenic Acid (Vitamin B5) Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0427,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/pantothenic-acid-vitamin-b5-bulk
CANDIDATE,magnesium-citrate,Magnesium Citrate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0299,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/magnesium-citrate
CANDIDATE,l-carnosine,L-Carnosine Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.69,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-carnosine
CANDIDATE,calcium-gluconate,Calcium Gluconate (USA),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0814,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-gluconate
CANDIDATE,ascorbyl-palmitate-vitamin-c-ester,Ascorbyl Palmitate (Vitamin C Ester) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.115,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/ascorbyl-palmitate-vitamin-c-ester
CANDIDATE,beta-alanine-powder-bulk,Beta Alanine Powder Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",0.0303,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/beta-alanine-powder-bulk
CANDIDATE,zinc-picolinate-20-bulk,Zinc Picolinate 20% Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0553,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-picolinate-20-bulk
CANDIDATE,zinc-bis-glycinate-bulk,Zinc Bis-Glycinate Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0469,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-bis-glycinate-bulk
CANDIDATE,potassium-gluconate,Potassium Gluconate (USA),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0758,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/potassium-gluconate
CANDIDATE,coenzyme-q10-coq10,Coenzyme Q10 (CoQ10) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.925,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/coenzyme-q10-coq10
CANDIDATE,branched-chain-amino-acids-bcaa-instantized-bulk,Branched Chain Amino Acids (BCAA) Instantized Powder Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0353,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/branched-chain-amino-acids-bcaa-instantized-bulk
CANDIDATE,whey-protein-isolate-90,Whey Protein Isolate 90% (USA),{},"[""NO-FILLERS"", ""PURE"", ""SUGAR-FREE""]",0.075,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/whey-protein-isolate-90
CANDIDATE,bhb-sodium-beta-hydroxybutyrate,BHB Sodium (Beta Hydroxybutyrate) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""SUGAR-FREE"", ""VEGAN"", ""VEGETARIAN""]",0.095,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/bhb-sodium-beta-hydroxybutyrate
CANDIDATE,pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6-bulk,Pyridoxal-5-Phosphate (P5P) (P-5-P) (Vitamin B6) Bulk 5kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.2912,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6-bulk
CANDIDATE,bhb-sodium-bulk,BHB Potassium Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0427,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/bhb-sodium-bulk
CANDIDATE,bhb-calcium,BHB Calcium Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.125,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/bhb-calcium
CANDIDATE,biotin-1-vitamin-b7-bulk,Biotin 1% (Vitamin B7) Powder Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.049,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/biotin-1-vitamin-b7-bulk
CANDIDATE,zinc-oxide-bulk,Zinc Oxide Bulk 50lb,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",642.97,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-oxide-bulk
CANDIDATE,pyridoxine-hcl-vitamin-b6-bulk,Pyridoxine HCl (Vitamin B6) Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0599,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/pyridoxine-hcl-vitamin-b6-bulk
CANDIDATE,calcium-pyruvate,Calcium Pyruvate Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""NON-CARBOHYDRATE"", ""NON-OXYGEN"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",0.1295,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-pyruvate
CANDIDATE,thiamine-hcl-vitamin-b1-bulk,Thiamine HCl (Vitamin B1) Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0847,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/thiamine-hcl-vitamin-b1-bulk
CANDIDATE,potassium-iodide,Potassium Iodide,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.58,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/potassium-iodide
CANDIDATE,l-histidine-hcl,L-Histidine HCl,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.26,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-histidine-hcl
CANDIDATE,calcium-d-glucarate,Calcium D-Glucarate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.42,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-d-glucarate
CANDIDATE,potassium-bicarbonate-bulk,Potassium Bicarbonate (USA) Bulk 50lb,{},"[""NO-FILLERS"", ""PURE""]",499.95,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/potassium-bicarbonate-bulk
CANDIDATE,niacin-vitamin-b3-immediate-release-bulk,Niacin (Vitamin B3) Immediate Release Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0253,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/niacin-vitamin-b3-immediate-release-bulk
CANDIDATE,cyanocobalamin-1-mannitol-99-vitamin-b12,Cyanocobalamin 1% (Mannitol 99%) (Vitamin B12),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.25,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/cyanocobalamin-1-mannitol-99-vitamin-b12
CANDIDATE,thiamine-hcl-vitamin-b1,Thiamine HCl (Vitamin B1),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.21,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/thiamine-hcl-vitamin-b1
CANDIDATE,zinc-gluconate-bulk,Zinc Gluconate Bulk 25kg,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.028,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-gluconate-bulk
CANDIDATE,riboflavin-5-phosphate-vitamin-b2,Riboflavin 5 Phosphate (Vitamin B2),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.595,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/riboflavin-5-phosphate-vitamin-b2
CANDIDATE,magnesium-malate,Magnesium Malate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0495,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/magnesium-malate
CANDIDATE,cyanocobalamin-pure-vitamin-b12-bulk,Cyanocobalamin Pure (Vitamin B12) Powder Bulk,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",4.6099,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/cyanocobalamin-pure-vitamin-b12-bulk
CANDIDATE,calcium-citrate-usa,Calcium Citrate (USA) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0555,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-citrate-usa
CANDIDATE,calcium-carbonate-mineral,Calcium Carbonate (Mineral) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.021,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-carbonate-mineral
CANDIDATE,niacinamide-powder-vitamin-b3,Niacinamide Powder (Vitamin B3),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0425,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/niacinamide-powder-vitamin-b3
CANDIDATE,l-leucine,L-Leucine,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0775,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/l-leucine
CANDIDATE,n-acetyl-l-glutamine,N-Acetyl L-Glutamine,{},"[""BSE-TSE-FREE"", ""FAT-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0425,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/n-acetyl-l-glutamine
CANDIDATE,immune-support-blend,Immune Support Blend,{},"[""NO-FILLERS"", ""PURE""]",0.165,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/immune-support-blend
CANDIDATE,pantothenic-acid-vitamin-b5,Pantothenic Acid (Vitamin B5),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0875,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/pantothenic-acid-vitamin-b5
CANDIDATE,pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6,Pyridoxal-5-Phosphate (P5P) (P-5-P) (Vitamin B6),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.85,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/pyridoxal-5-phosphate-p5p-p-5-p-vitamin-b6
